task_instance_id,task_group_id,split,template_family,difficulty,expected_normal_branches,observed_branches,branch_exact_match,missing_expected_branches,unexpected_branches,active_agents,event_count,unique_directed_pair_count,repeated_pair_count,message_count,artifact_count,artifact_version_count,clarification_count,revision_count,task_status,final_travel_plan_present,strict_validation_error_count,active_agent_mask,adjacency_signature
formal_budget_trip_london_03,grp_tmpl_budget_trip_flight-hotel-currency_none,validation,budget_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_budget_trip_hongkong_04,grp_tmpl_budget_trip_flight-hotel-tours_schedule_conflict,train,budget_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_budget_trip_singapore_05,grp_tmpl_budget_trip_flight-hotel-currency_budget_conflict,train,budget_trip,medium,"['budget_revision', 'client_clarification', 'multi_branch']","['budget_revision', 'client_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",14,10,4,14,6,7,4,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_budget_trip_taipei_06,grp_tmpl_budget_trip_flight-hotel-tours_schedule_conflict,train,budget_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_budget_trip_newyork_07,grp_tmpl_budget_trip_flight-hotel-currency_budget_conflict,train,budget_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_budget_trip_bangkok_08,grp_tmpl_budget_trip_flight-hotel-currency-tours_budget_conflict-integration_conflict,test,budget_trip,hard,"['budget_revision', 'integration_revision', 'multi_branch']","['budget_revision', 'integration_revision', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",16,12,4,16,8,10,2,2,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': True}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_business_trip_bangkok_01,grp_tmpl_business_trip_flight-hotel-currency_none,train,business_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_business_trip_osaka_02,grp_tmpl_business_trip_flight-hotel-tours_none,test,business_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_business_trip_paris_03,grp_tmpl_business_trip_flight-hotel-currency_budget_conflict,train,business_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_business_trip_berlin_04,grp_tmpl_business_trip_flight-hotel-tours_schedule_conflict,train,business_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_business_trip_barcelona_05,grp_tmpl_business_trip_flight-hotel-currency_budget_conflict,train,business_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_business_trip_vancouver_06,grp_tmpl_business_trip_flight-hotel-tours_schedule_conflict,train,business_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_business_trip_london_07,grp_tmpl_business_trip_flight-hotel-currency-tours_budget_conflict-schedule_conflict,validation,business_trip,hard,"['budget_revision', 'schedule_clarification', 'multi_branch']","['budget_revision', 'schedule_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",17,14,3,17,8,10,4,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': True}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_family_trip_rome_01,grp_tmpl_family_trip_flight-hotel-tours_none,test,family_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_family_trip_tokyo_02,grp_tmpl_family_trip_flight-hotel_none,train,family_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'travel_coordinator']",6,6,0,6,4,4,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': False}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_family_trip_osaka_03,grp_tmpl_family_trip_flight-hotel-currency_none,train,family_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_family_trip_rome_04,grp_tmpl_family_trip_flight-hotel-currency_budget_conflict,train,family_trip,medium,"['budget_revision', 'client_clarification', 'multi_branch']","['budget_revision', 'client_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",14,10,4,14,6,7,4,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_family_trip_singapore_05,grp_tmpl_family_trip_flight-hotel-tours_schedule_conflict,validation,family_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_family_trip_sydney_06,grp_tmpl_family_trip_flight-hotel-currency_budget_conflict,train,family_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_family_trip_paris_07,grp_tmpl_family_trip_flight-hotel-currency-tours_budget_conflict-integration_conflict,validation,family_trip,hard,"['budget_revision', 'integration_revision', 'multi_branch']","['budget_revision', 'integration_revision', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",16,12,4,16,8,10,2,2,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': True}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_activity_focused_trip_dubai_01,grp_tmpl_activity_focused_trip_flight-hotel_none,test,activity_focused_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'travel_coordinator']",6,6,0,6,4,4,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': False}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_activity_focused_trip_hongkong_02,grp_tmpl_activity_focused_trip_flight-hotel-currency_none,test,activity_focused_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_activity_focused_trip_taipei_03,grp_tmpl_activity_focused_trip_flight-hotel-currency_budget_conflict,train,activity_focused_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_activity_focused_trip_newyork_04,grp_tmpl_activity_focused_trip_flight-hotel-tours_schedule_conflict,train,activity_focused_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_activity_focused_trip_berlin_05,grp_tmpl_activity_focused_trip_flight-hotel-currency_budget_conflict,train,activity_focused_trip,medium,"['budget_revision', 'client_clarification', 'multi_branch']","['budget_revision', 'client_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",14,10,4,14,6,7,4,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_activity_focused_trip_barcelona_06,grp_tmpl_activity_focused_trip_flight-hotel-currency-tours_budget_conflict-integration_conflict,test,activity_focused_trip,hard,"['budget_revision', 'integration_revision', 'client_clarification', 'multi_branch']","['budget_revision', 'integration_revision', 'client_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",18,12,6,18,8,10,4,2,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': True}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_activity_focused_trip_sydney_07,grp_tmpl_activity_focused_trip_flight-hotel-currency-tours_budget_conflict-schedule_conflict,test,activity_focused_trip,hard,"['budget_revision', 'schedule_clarification', 'multi_branch']","['budget_revision', 'schedule_clarification', 'multi_branch']",True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",17,14,3,17,8,10,4,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': True}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_multi_constraint_trip_dubai_01,grp_tmpl_multi_constraint_trip_flight-hotel-tours_schedule_conflict,train,multi_constraint_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_multi_constraint_trip_vancouver_02,grp_tmpl_multi_constraint_trip_flight-hotel-currency_budget_conflict,validation,multi_constraint_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
